# 世界银行 WDI · SP.DYN.LE00.IN · 2023 年 · 取数 2026-09-10
iso3,name_en,region_en,years
ABW,Aruba,Latin America & Caribbean ,76.35
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",66.03
AGO,Angola,Sub-Saharan Africa ,64.62
ALB,Albania,Europe & Central Asia,79.6
AND,Andorra,Europe & Central Asia,84.04
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",82.91
ARG,Argentina,Latin America & Caribbean ,77.39
ARM,Armenia,Europe & Central Asia,77.47
ASM,American Samoa,East Asia & Pacific,72.85
ATG,Antigua and Barbuda,Latin America & Caribbean ,77.6
AUS,Australia,East Asia & Pacific,83.05
AUT,Austria,Europe & Central Asia,81.79
AZE,Azerbaijan,Europe & Central Asia,74.43
BDI,Burundi,Sub-Saharan Africa ,63.65
BEL,Belgium,Europe & Central Asia,82.4
BEN,Benin,Sub-Saharan Africa ,60.77
BFA,Burkina Faso,Sub-Saharan Africa ,61.09
BGD,Bangladesh,South Asia,74.67
BGR,Bulgaria,Europe & Central Asia,75.76
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",81.28
BHS,"Bahamas, The",Latin America & Caribbean ,74.55
BIH,Bosnia and Herzegovina,Europe & Central Asia,77.85
BLR,Belarus,Europe & Central Asia,74.18
BLZ,Belize,Latin America & Caribbean ,73.57
BMU,Bermuda,North America,82.31
BOL,Bolivia,Latin America & Caribbean ,68.58
BRA,Brazil,Latin America & Caribbean ,75.85
BRB,Barbados,Latin America & Caribbean ,76.18
BRN,Brunei Darussalam,East Asia & Pacific,75.33
BTN,Bhutan,South Asia,72.97
BWA,Botswana,Sub-Saharan Africa ,69.16
CAF,Central African Republic,Sub-Saharan Africa ,57.41
CAN,Canada,North America,81.63
CHE,Switzerland,Europe & Central Asia,84.16
CHI,Channel Islands,Europe & Central Asia,81.1
CHL,Chile,Latin America & Caribbean ,81.17
CHN,China,East Asia & Pacific,77.95
CIV,Cote d'Ivoire,Sub-Saharan Africa ,61.94
CMR,Cameroon,Sub-Saharan Africa ,63.7
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,61.9
COG,"Congo, Rep.",Sub-Saharan Africa ,65.77
COL,Colombia,Latin America & Caribbean ,77.72
COM,Comoros,Sub-Saharan Africa ,66.78
CPV,Cabo Verde,Sub-Saharan Africa ,76.06
CRI,Costa Rica,Latin America & Caribbean ,80.8
CUB,Cuba,Latin America & Caribbean ,78.08
CUW,Curacao,Latin America & Caribbean ,76.8
CYM,Cayman Islands,Latin America & Caribbean ,80.36
CYP,Cyprus,Europe & Central Asia,81.65
CZE,Czechia,Europe & Central Asia,79.83
DEU,Germany,Europe & Central Asia,81.04
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",65.99
DMA,Dominica,Latin America & Caribbean ,71.13
DNK,Denmark,Europe & Central Asia,81.75
DOM,Dominican Republic,Latin America & Caribbean ,73.72
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",76.26
ECU,Ecuador,Latin America & Caribbean ,77.39
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",71.63
ERI,Eritrea,Sub-Saharan Africa ,68.62
ESP,Spain,Europe & Central Asia,83.93
EST,Estonia,Europe & Central Asia,78.79
ETH,Ethiopia,Sub-Saharan Africa ,67.31
FIN,Finland,Europe & Central Asia,81.59
FJI,Fiji,East Asia & Pacific,67.32
FRA,France,Europe & Central Asia,82.83
FRO,Faroe Islands,Europe & Central Asia,82.95
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,67.2
GAB,Gabon,Sub-Saharan Africa ,68.34
