# 世界银行 WDI · SP.URB.TOTL.IN.ZS · 1990–2023 · 取数 2026-09-10
iso3,year,urban_pct
BRA,1990,74.87
BRA,1991,75.49
BRA,1992,76.09
BRA,1993,76.64
BRA,1994,77.17
BRA,1995,77.71
BRA,1996,78.3
BRA,1997,79.0
BRA,1998,79.79
BRA,1999,80.55
BRA,2000,81.15
BRA,2001,81.6
BRA,2002,81.99
BRA,2003,82.35
BRA,2004,82.68
BRA,2005,82.98
BRA,2006,83.27
BRA,2007,83.54
BRA,2008,83.8
BRA,2009,84.07
BRA,2010,84.34
BRA,2011,84.62
BRA,2012,84.9
BRA,2013,85.17
BRA,2014,85.43
BRA,2015,85.69
BRA,2016,85.95
BRA,2017,86.2
BRA,2018,86.44
BRA,2019,86.68
BRA,2020,86.91
BRA,2021,87.14
BRA,2022,87.35
BRA,2023,87.62
CHN,1990,26.2
CHN,1991,26.94
CHN,1992,27.46
CHN,1993,27.99
CHN,1994,28.51
CHN,1995,29.04
CHN,1996,30.48
CHN,1997,31.91
CHN,1998,33.35
CHN,1999,34.78
CHN,2000,36.43
CHN,2001,37.66
CHN,2002,39.09
CHN,2003,40.53
CHN,2004,41.76
CHN,2005,42.99
CHN,2006,44.34
CHN,2007,45.89
CHN,2008,46.99
CHN,2009,48.34
CHN,2010,49.23
CHN,2011,51.83
CHN,2012,53.1
CHN,2013,54.49
CHN,2014,55.75
CHN,2015,57.33
CHN,2016,58.84
CHN,2017,60.24
CHN,2018,61.5
CHN,2019,62.71
CHN,2020,63.52
CHN,2021,64.72
CHN,2022,65.22
CHN,2023,65.53
IND,1990,25.58
IND,1991,25.78
IND,1992,25.98
IND,1993,26.18
IND,1994,26.37
IND,1995,26.57
IND,1996,26.76
IND,1997,26.97
IND,1998,27.18
IND,1999,27.41
IND,2000,27.65
IND,2001,27.9
IND,2002,28.18
IND,2003,28.47
IND,2004,28.77
IND,2005,29.09
IND,2006,29.43
IND,2007,29.78
IND,2008,30.14
IND,2009,30.52
IND,2010,30.9
IND,2011,31.27
IND,2012,31.59
IND,2013,31.91
IND,2014,32.23
IND,2015,32.55
IND,2016,32.87
IND,2017,33.18
IND,2018,33.5
IND,2019,33.81
IND,2020,34.13
IND,2021,34.44
IND,2022,34.76
IND,2023,35.07
KOR,1990,73.99
KOR,1991,75.16
KOR,1992,76.2
KOR,1993,77.11
KOR,1994,77.86
KOR,1995,78.4
KOR,1996,78.75
KOR,1997,78.99
KOR,1998,79.18
KOR,1999,79.36
KOR,2000,79.58
KOR,2001,79.88
KOR,2002,80.28
KOR,2003,80.71
KOR,2004,81.1
KOR,2005,81.39
KOR,2006,81.57
KOR,2007,81.71
KOR,2008,81.84
KOR,2009,81.92
KOR,2010,81.97
KOR,2011,81.96
KOR,2012,81.91
KOR,2013,81.83
KOR,2014,81.73
KOR,2015,81.64
KOR,2016,81.56
KOR,2017,81.47
KOR,2018,81.38
KOR,2019,81.29
KOR,2020,81.18
KOR,2021,81.16
KOR,2022,81.16
KOR,2023,81.16
NGA,1990,35.19
NGA,1991,35.97
NGA,1992,36.75
NGA,1993,37.53
NGA,1994,38.33
NGA,1995,39.14
NGA,1996,39.95
NGA,1997,40.77
NGA,1998,41.6
NGA,1999,42.44
NGA,2000,43.28
NGA,2001,44.13
NGA,2002,44.98
NGA,2003,45.84
NGA,2004,46.7
NGA,2005,47.57
NGA,2006,48.42
NGA,2007,49.24
NGA,2008,50.05
NGA,2009,50.86
NGA,2010,51.68
NGA,2011,52.49
NGA,2012,53.3
NGA,2013,54.11
NGA,2014,54.92
NGA,2015,55.73
NGA,2016,56.54
NGA,2017,57.35
NGA,2018,58.16
NGA,2019,58.96
NGA,2020,59.77
NGA,2021,60.57
NGA,2022,61.37
NGA,2023,62.17
